Net_Conditions,Success_Rate_%,Success_Num,Multiple_Attempts,Object_Drop,Collision,OOV,On_Board,Off_Board,Wrong_Color
Normal-1,100.0,30/30,3,3,0,0,0,0,0
Normal-2,100.0,30/30,4,3,2,0,0,0,0
Normal-3,96.67,29/30,3,3,2,0,1,0,0
PLM-10,89.66,26/29,3,4,3,0,3,0,0
PLM-30,100.0,30/30,9,1,3,0,0,0,0
PLM-50,96.55,28/29,7,3,3,0,1,0,0
DLM-100,93.33,28/30,2,3,4,0,2,0,0
DLM-300,90.0,27/30,6,8,9,0,1,0,2
DLM-500,93.33,28/30,19,5,11,0,2,0,0
CLM-10,100.0,30/30,3,4,2,0,0,0,0
CLM-30,90.0,27/30,12,13,11,0,3,0,0
CLM-50,100.0,30/30,5,7,10,0,0,0,0
